name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Rodák,FUL,GKP,4.5,Available,90,1,0,1.0,0.6
Cavaleiro,FUL,MID,5.5,Available,90,2,0,2.0,0.2
Onomah,FUL,MID,5.0,Available,74,2,0,2.0,0.2
Seri,FUL,MID,5.0,Available,0,0,0,0.0,0.1
Kamara,FUL,MID,5.0,Available,62,2,0,2.0,0.1
Anguissa,FUL,MID,4.5,Available,27,1,0,1.0,0.8
Sessegnon,FUL,DEF,4.5,NotAvail,0,0,0,0.0,0.1
Reed,FUL,MID,4.5,Available,90,2,0,2.0,1.3
Robinson,FUL,DEF,4.5,Available,0,0,0,0.0,0.1
Lemina,FUL,MID,4.5,Available,0,0,0,0.0,1.2
Areola,FUL,GKP,4.5,Available,0,0,0,0.0,1.4
Tete,FUL,DEF,4.5,Available,0,0,0,0.0,0.1
Odoi,FUL,DEF,4.5,Available,90,1,0,1.0,0.1
Morgan,LEI,DEF,4.5,Doubtful,0,0,0,0.0,0.1
Schmeichel,LEI,GKP,5.5,Available,90,6,0,6.0,14.5
Fuchs,LEI,DEF,4.5,Available,0,0,0,0.0,0.1
Evans,LEI,DEF,5.5,Suspended,0,0,0,0.0,0.1
Silva,LEI,MID,4.5,Available,0,0,0,0.0,0.7
Albrighton,LEI,MID,5.5,Available,23,1,0,1.0,0.2
James,LEI,MID,4.5,Available,0,0,0,0.0,0.5
Ward,LEI,GKP,4.5,Available,0,0,0,0.0,0.2
Vardy,LEI,FWD,10.0,Available,90,13,3,13.0,21.7
Praet,LEI,MID,5.5,Available,74,6,0,6.0,0.2
Pereira,LEI,DEF,6.0,Injured,0,0,0,0.0,0.1
Amartey,LEI,DEF,4.0,Available,0,0,0,0.0,1.6
Tielemans,LEI,MID,6.5,Available,90,3,0,3.0,2.1
Pérez,LEI,MID,6.5,Available,66,3,0,3.0,3.3
Gray,LEI,MID,5.5,Available,0,0,0,0.0,0.2
Maddison,LEI,MID,7.0,Available,15,1,0,1.0,1.5
Iheanacho,LEI,FWD,6.0,Available,0,0,0,0.0,0.6
Choudhury,LEI,MID,5.0,Available,0,0,0,0.0,0.1
Barnes,LEI,MID,7.0,Available,90,3,0,3.0,3.9
Ndidi,LEI,MID,5.0,Available,90,3,0,3.0,2.3
Benkovic,LEI,DEF,4.5,Injured,0,0,0,0.0,0.1
Söyüncü,LEI,DEF,5.5,Available,90,6,0,6.0,13.5
Justin,LEI,DEF,4.5,Available,90,9,1,9.0,14.6
Thomas,LEI,DEF,4.5,Available,0,0,0,0.0,0.4
Castagne,LEI,DEF,5.5,Available,90,14,2,14.0,3.4
Mendy,LEI,MID,4.5,Available,90,3,0,3.0,1.1
Hernández,LEE,MID,6.0,Available,61,2,0,2.0,1.8
Casilla,LEE,GKP,4.5,Available,0,0,0,0.0,2.4
Cooper,LEE,DEF,4.5,Doubtful,0,0,0,0.0,0.7
Douglas,LEE,DEF,4.0,Available,0,0,0,0.0,14.3
Ayling,LEE,DEF,4.5,Available,90,0,0,0.0,4.2
Klich,LEE,MID,5.5,Available,80,9,2,9.0,2.6
Forshaw,LEE,MID,5.0,Injured,0,0,0,0.0,0.0
Dallas,LEE,DEF,4.5,Available,90,3,0,3.0,5.0
Alioski,LEE,DEF,4.5,Available,0,0,0,0.0,0.7
Bamford,LEE,FWD,5.6,Available,61,7,1,7.0,8.9
Harrison,LEE,MID,5.5,Available,90,7,0,7.0,2.5
Phillips,LEE,MID,5.0,Available,90,5,0,5.0,3.4
Costa,LEE,MID,5.5,Available,90,5,0,5.0,0.7
Roberts,LEE,MID,5.0,Available,28,1,0,1.0,0.1
Grot,LEE,MID,5.0,Available,0,0,0,0.0,0.0
Miazek,LEE,GKP,4.0,Available,0,0,0,0.0,2.4
Poveda-Ocampo,LEE,MID,4.5,Available,0,0,0,0.0,0.3
Shackleton,LEE,MID,5.0,Available,9,1,0,1.0,0.1
Struijk,LEE,DEF,4.0,Available,90,0,0,0.0,2.2
Stevens,LEE,MID,4.5,Available,0,0,0,0.0,1.5
Meslier,LEE,GKP,4.5,Available,90,1,0,1.0,1.4
Davis,LEE,DEF,4.0,Available,0,0,0,0.0,1.5
Casey,LEE,DEF,4.0,Available,0,0,0,0.0,0.9
Koch,LEE,DEF,4.5,Available,90,0,0,0.0,0.6
Rodrigo,LEE,FWD,6.0,Available,28,1,0,1.0,7.7
Milner,LIV,MID,5.5,Available,0,0,0,0.0,0.2
Tsimikas,LIV,DEF,5.0,Doubtful,0,0,0,0.0,0.1
Wijnaldum,LIV,MID,5.5,Available,90,2,0,2.0,2.0
Henderson,LIV,MID,5.5,Available,65,2,0,2.0,2.8
Adrián,LIV,GKP,4.5,Available,0,0,0,0.0,0.3
Matip,LIV,DEF,5.5,Available,1,1,0,1.0,0.5
Shaqiri,LIV,MID,6.5,Doubtful,0,0,0,0.0,0.1
Chamberlain,LIV,MID,6.5,Doubtful,0,0,0,0.0,0.0
Firmino,LIV,FWD,9.5,Available,90,1,0,1.0,3.9
van Dijk,LIV,DEF,6.5,Available,90,7,0,7.0,27.9
Mané,LIV,MID,11.9,Available,90,2,0,2.0,10.7
Alisson,LIV,GKP,6.0,Available,90,1,0,1.0,12.0
Fabinho,LIV,MID,5.5,Available,32,4,0,4.0,1.5
Salah,LIV,MID,12.0,Available,90,20,3,20.0,36.0
Robertson,LIV,DEF,7.0,Available,90,4,0,4.0,12.9
Origi,LIV,FWD,5.5,Available,0,0,0,0.0,1.2
Harry Wilson,LIV,MID,5.5,Available,0,0,0,0.0,0.1
Minamino,LIV,MID,6.4,Available,0,0,0,0.0,0.4
Alexander-Arnold,LIV,DEF,7.5,Available,88,1,0,1.0,50.9
Gomez,LIV,DEF,5.5,Available,90,1,0,1.0,4.7
Keita,LIV,MID,5.5,Available,57,1,0,1.0,1.0
Brewster,LIV,FWD,4.5,Available,0,0,0,0.0,5.9
Jones,LIV,MID,4.5,Available,24,1,0,1.0,0.6
Williams,LIV,DEF,4.0,Available,0,0,0,0.0,4.4
Elliott,LIV,MID,4.5,Available,0,0,0,0.0,0.2
Fernandinho,MCI,DEF,5.5,Available,0,0,0,0.0,1.2
Bravo,MCI,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Agüero,MCI,FWD,10.5,Available,0,0,0,0.0,4.7
Otamendi,MCI,DEF,5.0,Available,0,0,0,0.0,0.8
Walker,MCI,DEF,6.0,Available,0,0,0,0.0,5.4
Gündogan,MCI,MID,5.5,Available,0,0,0,0.0,0.6
De Bruyne,MCI,MID,11.5,Available,0,0,0,0.0,29.9
Stones,MCI,DEF,5.0,Available,0,0,0,0.0,0.4
Mendy,MCI,DEF,6.0,Available,0,0,0,0.0,1.9
Mahrez,MCI,MID,8.5,Available,0,0,0,0.0,2.1
Sterling,MCI,MID,11.5,Available,0,0,0,0.0,4.3
Cancelo,MCI,DEF,5.5,Available,0,0,0,0.0,1.0
Ederson,MCI,GKP,6.0,Available,0,0,0,0.0,5.4
Aké,MCI,DEF,5.5,Available,0,0,0,0.0,7.3
Laporte,MCI,DEF,6.0,Available,0,0,0,0.0,5.3
Bernardo Silva,MCI,MID,7.5,Doubtful,0,0,0,0.0,0.7
Jesus,MCI,FWD,9.5,Available,0,0,0,0.0,1.8
Zinchenko,MCI,DEF,5.5,Available,0,0,0,0.0,0.5
Foden,MCI,MID,6.5,Available,0,0,0,0.0,4.2
Doyle,MCI,MID,4.5,Available,0,0,0,0.0,0.1
Rodrigo,MCI,MID,5.5,Available,0,0,0,0.0,0.6
Torres,MCI,MID,7.0,Available,0,0,0,0.0,1.3
Garcia,MCI,DEF,5.0,Available,0,0,0,0.0,0.3
Romero,MUN,GKP,5.0,Available,0,0,0,0.0,0.2
Mata,MUN,MID,6.0,Available,0,0,0,0.0,0.1
de Gea,MUN,GKP,5.5,Available,0,0,0,0.0,4.4
Smalling,MUN,DEF,5.0,Available,0,0,0,0.0,0.2
Ighalo,MUN,FWD,6.5,Available,0,0,0,0.0,0.3
Rojo,MUN,DEF,5.0,Available,0,0,0,0.0,0.1
Matic,MUN,MID,5.0,Available,0,0,0,0.0,0.3
Pogba,MUN,MID,8.0,Available,0,0,0,0.0,1.9
Jones,MUN,DEF,5.0,Available,0,0,0,0.0,0.1
Maguire,MUN,DEF,5.5,Available,0,0,0,0.0,4.1
Fred,MUN,MID,5.5,Available,0,0,0,0.0,0.2
Shaw,MUN,DEF,5.0,Available,0,0,0,0.0,1.5
Lingard,MUN,MID,6.0,Available,0,0,0,0.0,0.2
Fernandes,MUN,MID,10.5,Available,0,0,0,0.0,21.3
Martial,MUN,FWD,9.0,Available,0,0,0,0.0,14.7
Pereira,MUN,MID,5.0,Available,0,0,0,0.0,0.1
Henderson,MUN,GKP,5.5,Available,0,0,0,0.0,3.0
Rashford,MUN,MID,9.5,Available,0,0,0,0.0,5.8
Tuanzebe,MUN,DEF,4.5,Injured,0,0,0,0.0,0.0
Lindelöf,MUN,DEF,5.0,Available,0,0,0,0.0,2.0
McTominay,MUN,MID,5.0,Available,0,0,0,0.0,0.3
Bailly,MUN,DEF,5.0,Available,0,0,0,0.0,0.3
James,MUN,MID,6.5,Available,0,0,0,0.0,0.4
Fosu-Mensah,MUN,DEF,4.5,Available,0,0,0,0.0,0.1
Wan-Bissaka,MUN,DEF,5.5,Available,0,0,0,0.0,12.8
Dalot,MUN,DEF,5.0,Available,0,0,0,0.0,0.1
Greenwood,MUN,MID,7.5,Available,0,0,0,0.0,8.2
Chong,MUN,MID,4.5,NotAvail,0,0,0,0.0,0.0
Garner,MUN,MID,4.5,Available,0,0,0,0.0,0.1
Williams,MUN,DEF,4.5,Available,0,0,0,0.0,1.8
Mengi,MUN,DEF,4.0,Available,0,0,0,0.0,0.7
van de Beek,MUN,MID,7.0,Available,0,0,0,0.0,3.6
Carroll,NEW,FWD,5.5,Available,87,2,0,2.0,0.6
Shelvey,NEW,MID,5.5,Available,90,3,0,3.0,0.3
Ritchie,NEW,MID,5.0,Available,0,0,0,0.0,0.1
Fernández,NEW,DEF,5.0,Available,90,6,0,6.0,1.6
Clark,NEW,DEF,4.5,Available,0,0,0,0.0,0.1
Darlow,NEW,GKP,5.0,Available,90,7,0,7.0,0.4
Dubravka,NEW,GKP,5.0,Injured,0,0,0,0.0,0.4
Lejeune,NEW,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Lascelles,NEW,DEF,4.5,Available,90,6,0,6.0,4.0
Gayle,NEW,FWD,6.0,Injured,0,0,0,0.0,0.0
Atsu,NEW,MID,5.5,Available,0,0,0,0.0,0.1
Dummett,NEW,DEF,4.5,Doubtful,0,0,0,0.0,0.0
Manquillo,NEW,DEF,4.5,Available,90,5,0,5.0,0.4
Krafth,NEW,DEF,4.5,Available,0,0,0,0.0,0.1
Schär,NEW,DEF,5.0,Injured,0,0,0,0.0,0.0
Yedlin,NEW,DEF,4.5,Available,0,0,0,0.0,0.5
Hayden,NEW,MID,5.0,Available,90,2,0,2.0,0.1
Aarons,NEW,MID,5.0,Available,0,0,0,0.0,0.1
Saint-Maximin,NEW,MID,5.5,Available,74,3,0,3.0,21.8
Almirón,NEW,MID,6.0,Available,5,4,0,4.0,1.1
Joelinton,NEW,FWD,6.0,Available,15,1,0,1.0,0.4
Muto,NEW,FWD,5.0,Available,0,0,0,0.0,0.5
Watts,NEW,DEF,4.0,NotAvail,0,0,0,0.0,0.3
Sean Longstaff,NEW,MID,5.0,Available,2,1,0,1.0,0.1
Hendrick,NEW,MID,5.0,Available,90,14,3,14.0,2.7
Matty Longstaff,NEW,MID,5.0,Injured,0,0,0,0.0,0.0
Gillespie,NEW,GKP,4.5,Available,0,0,0,0.0,0.1
Murphy,NEW,MID,5.0,Available,0,0,0,0.0,0.0
Wilson,NEW,FWD,6.5,Available,84,8,2,8.0,12.8
Fraser,NEW,MID,6.0,Available,0,0,0,0.0,1.0
Lewis,NEW,DEF,4.5,Available,90,7,1,7.0,2.8
Sharp,SHU,FWD,6.0,Available,90,2,0,2.0,0.3
McGoldrick,SHU,FWD,5.5,Available,19,1,0,1.0,1.0
Basham,SHU,DEF,5.0,Available,70,1,0,1.0,2.1
Fleck,SHU,MID,6.0,Available,90,2,0,2.0,0.5
Stevens,SHU,DEF,5.5,Available,90,1,0,1.0,5.2
Moore,SHU,GKP,4.5,Available,0,0,0,0.0,0.3
Norwood,SHU,MID,5.0,Available,75,2,0,2.0,0.6
Foderingham,SHU,GKP,4.5,Available,0,0,0,0.0,0.2
Baldock,SHU,DEF,5.5,Available,90,1,0,1.0,4.7
Jack Robinson,SHU,DEF,4.5,Available,0,0,0,0.0,0.2
Egan,SHU,DEF,5.0,Available,90,0,0,0.0,15.1
O'Connell,SHU,DEF,5.0,Available,90,1,0,1.0,0.7
Lundstram,SHU,MID,5.5,Available,90,2,0,2.0,11.9
Osborn,SHU,MID,5.0,Available,0,0,0,0.0,0.0
McBurnie,SHU,FWD,6.0,Available,90,1,0,1.0,0.7
Mousset,SHU,FWD,6.0,Injured,0,0,0,0.0,0.4
Berge,SHU,MID,5.0,Available,14,1,0,1.0,0.2
Burke,SHU,MID,4.5,Available,0,0,0,0.0,1.0
Freeman,SHU,MID,5.0,NotAvail,0,0,0,0.0,0.0
Ramsdale,SHU,GKP,5.0,Available,90,1,0,1.0,7.3
Ampadu,SHU,DEF,4.5,Available,0,0,0,0.0,0.9
Bogle,SHU,DEF,4.5,Available,0,0,0,0.0,0.1
Lowe,SHU,DEF,4.5,Available,0,0,0,0.0,0.1
Jagielka,SHU,DEF,4.0,Available,0,0,0,0.0,0.1
Long,SOU,FWD,5.5,Available,5,1,0,1.0,1.4
Bertrand,SOU,DEF,5.0,Available,90,2,0,2.0,1.5
McCarthy,SOU,GKP,4.5,Available,90,2,0,2.0,22.9
Oriol Romeu,SOU,MID,4.5,Available,90,2,0,2.0,4.5
Redmond,SOU,MID,6.5,Available,90,2,0,2.0,0.9
Ings,SOU,FWD,8.5,Available,90,2,0,2.0,21.7
Stephens,SOU,DEF,5.0,Available,90,2,0,2.0,0.5
Armstrong,SOU,MID,5.5,Injured,0,0,0,0.0,0.3
Vestergaard,SOU,DEF,4.5,Available,45,1,0,1.0,0.6
Ward-Prowse,SOU,MID,6.0,Available,90,2,0,2.0,4.2
Gunn,SOU,GKP,4.5,Available,0,0,0,0.0,0.3
Boufal,SOU,MID,5.5,Available,0,0,0,0.0,0.1
Sims,SOU,MID,4.5,Available,0,0,0,0.0,0.2
Walker-Peters,SOU,DEF,4.5,Available,90,1,0,1.0,11.6
Bednarek,SOU,DEF,4.5,Available,45,1,0,1.0,2.9
Adams,SOU,FWD,6.0,Available,84,2,0,2.0,4.3
Valery,SOU,DEF,5.0,Available,0,0,0,0.0,0.1
Smallbone,SOU,MID,4.5,Available,76,2,0,2.0,0.5
Vokins,SOU,DEF,4.0,Available,0,0,0,0.0,1.5
Obafemi,SOU,FWD,5.0,Available,0,0,0,0.0,2.6
Djenepo,SOU,MID,5.5,Available,13,1,0,1.0,0.1
Salisu,SOU,DEF,4.5,Available,0,0,0,0.0,0.3
Forster,SOU,GKP,4.0,Available,0,0,0,0.0,0.7
Tella,SOU,MID,4.5,Available,0,0,0,0.0,0.1
Lloris,TOT,GKP,5.5,Available,90,3,0,3.0,5.1
Rose,TOT,DEF,5.0,Available,0,0,0,0.0,0.4
Sissoko,TOT,MID,5.0,Available,45,1,0,1.0,0.6
Alderweireld,TOT,DEF,5.5,Available,90,2,0,2.0,2.9
Lamela,TOT,MID,6.0,Available,0,0,0,0.0,0.2
Kane,TOT,FWD,10.5,Available,90,2,0,2.0,13.8
Aurier,TOT,DEF,5.5,Available,0,0,0,0.0,3.3
Son,TOT,MID,9.0,Available,90,2,0,2.0,24.4
Dier,TOT,DEF,5.0,Available,90,2,0,2.0,1.7
Lucas Moura,TOT,MID,7.0,Available,90,2,0,2.0,2.4
Gazzaniga,TOT,GKP,4.5,Available,0,0,0,0.0,0.4
Alli,TOT,MID,8.0,Available,45,1,0,1.0,3.3
Davies,TOT,DEF,5.0,Available,90,2,0,2.0,2.6
Højbjerg,TOT,MID,5.0,Available,90,1,0,1.0,1.0
Winks,TOT,MID,5.5,Available,59,1,0,1.0,0.2
Sánchez,TOT,DEF,5.5,Available,0,0,0,0.0,1.0
Sessegnon,TOT,DEF,5.0,Available,0,0,0,0.0,0.3
Bergwijn,TOT,MID,7.5,Available,30,1,0,1.0,1.2
Fernandes,TOT,MID,5.0,Available,0,0,0,0.0,0.1
Tanganga,TOT,DEF,5.0,Injured,0,0,0,0.0,0.1
Lo Celso,TOT,MID,7.0,Doubtful,0,0,0,0.0,0.8
Skipp,TOT,MID,4.5,NotAvail,0,0,0,0.0,0.0
Ndombele,TOT,MID,6.0,Available,14,1,0,1.0,0.2
Foyth,TOT,DEF,4.5,Available,0,0,0,0.0,0.2
Doherty,TOT,DEF,6.0,Available,75,2,0,2.0,22.9
Hart,TOT,GKP,4.5,Available,0,0,0,0.0,1.0
Carter-Vickers,TOT,DEF,4.0,Available,0,0,0,0.0,0.4
Button,WBA,GKP,4.0,Available,0,0,0,0.0,5.1
Callum Robinson,WBA,FWD,5.5,Available,59,1,0,1.0,0.2
Gibbs,WBA,DEF,4.5,Available,90,1,0,1.0,0.8
Robson-Kanu,WBA,FWD,5.5,Available,30,1,0,1.0,0.4
Livermore,WBA,MID,5.0,Available,90,2,0,2.0,0.2
Grosicki,WBA,MID,5.5,Available,0,0,0,0.0,0.1
Phillips,WBA,MID,5.5,Doubtful,0,0,0,0.0,0.1
Bartley,WBA,DEF,4.5,Available,90,1,0,1.0,0.2
Sawyers,WBA,MID,5.0,Available,68,2,0,2.0,0.1
Hegazi,WBA,DEF,4.5,Available,0,0,0,0.0,1.1
Austin,WBA,FWD,5.5,Available,0,0,0,0.0,0.9
Zohore,WBA,FWD,5.0,Injured,0,0,0,0.0,0.1
Johnstone,WBA,GKP,4.5,Available,90,2,0,2.0,0.8
Townsend,WBA,DEF,4.5,Doubtful,0,0,0,0.0,0.1
Ajayi,WBA,DEF,5.0,Available,90,0,0,0.0,0.3
Leko,WBA,MID,4.5,NotAvail,0,0,0,0.0,0.1
Edwards,WBA,MID,5.0,Available,22,1,0,1.0,0.0
Furlong,WBA,DEF,4.5,Available,68,2,0,2.0,0.1
Field,WBA,MID,5.0,Available,0,0,0,0.0,0.0
O'Shea,WBA,DEF,4.5,Available,90,1,0,1.0,0.3
Harper,WBA,MID,4.5,Available,21,1,0,1.0,0.6
Diangana,WBA,MID,5.5,Available,90,2,0,2.0,0.6
Pereira,WBA,MID,6.0,Available,90,2,0,2.0,2.6
Kipre,WBA,DEF,4.5,Available,0,0,0,0.0,0.1
Noble,WHU,MID,5.0,Available,66,2,0,2.0,2.1
Snodgrass,WHU,MID,6.0,Available,0,0,0,0.0,0.1
Martin,WHU,GKP,4.0,Available,0,0,0,0.0,8.2
Randolph,WHU,GKP,4.5,Available,0,0,0,0.0,0.3
Fabianski,WHU,GKP,5.0,Available,90,1,0,1.0,1.7
Ogbonna,WHU,DEF,5.0,Available,90,1,0,1.0,0.4
Roberto,WHU,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Wilshere,WHU,MID,5.0,Doubtful,0,0,0,0.0,0.2
Cresswell,WHU,DEF,5.0,Available,90,1,0,1.0,1.1
Yarmolenko,WHU,MID,6.0,Available,23,0,0,0.0,0.2
Antonio,WHU,FWD,6.5,Available,90,2,0,2.0,9.1
Fredericks,WHU,DEF,4.5,Available,90,0,0,0.0,0.6
Lanzini,WHU,MID,6.5,Available,0,0,0,0.0,0.1
Felipe Anderson,WHU,MID,6.5,Available,1,1,0,1.0,0.5
Haller,WHU,FWD,6.5,Available,23,1,0,1.0,0.5
Masuaku,WHU,DEF,4.5,Available,0,0,0,0.0,0.3
Balbuena,WHU,DEF,4.5,Available,0,0,0,0.0,0.2
Hugill,WHU,FWD,5.5,NotAvail,0,0,0,0.0,0.0
Bowen,WHU,MID,6.5,Available,88,2,0,2.0,1.3
Ajeti,WHU,FWD,5.5,NotAvail,0,0,0,0.0,0.0
Rice,WHU,MID,5.0,Available,90,2,0,2.0,4.7
Soucek,WHU,MID,5.0,Available,90,2,0,2.0,5.6
Fornals,WHU,MID,6.5,Available,66,2,0,2.0,0.1
Diop,WHU,DEF,4.5,Available,90,1,0,1.0,1.6
Johnson,WHU,DEF,4.0,Available,0,0,0,0.0,2.6
Ruddy,WOL,GKP,4.5,Available,0,0,0,0.0,0.4
